device_name;label;num_tokens;token_dtype;num_classes;in_features;dtype;device;bias;reduction;ignore_index;label_smoothing;message;cpu_mem_gb;cuda_mem_gb;time_ms;loss
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;MyLinearCrossEntropyLoss;int:8192;dtype:torch.int64;2048;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.325788;0.268806144;35.00194091796875;7.787349700927734
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;MyLinearCrossEntropyLoss;int:8192;dtype:torch.int64;4096;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.32584;0.386254848;62.144683837890625;8.486391067504883
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;MyLinearCrossEntropyLoss;int:8192;dtype:torch.int64;16384;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.325776;1.090947072;244.5386474609375;9.882548332214355
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;MyLinearCrossEntropyLoss;int:8192;dtype:torch.int64;32768;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.325776;2.030536704;490.443017578125;10.565755844116211
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;MyLinearCrossEntropyLoss;int:8192;dtype:torch.int64;65536;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.325844;3.909715968;965.36630859375;11.252062797546387
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;LinearCrossEntropyLoss;int:8192;dtype:torch.int64;2048;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.226144;0.310576128;31.27208557128906;7.787349700927734
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;LinearCrossEntropyLoss;int:8192;dtype:torch.int64;4096;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.226192;0.545457152;60.43589477539062;8.486390113830566
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;LinearCrossEntropyLoss;int:8192;dtype:torch.int64;16384;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.226204;1.954743296;244.529296875;9.882548332214355
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;LinearCrossEntropyLoss;int:8192;dtype:torch.int64;32768;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.226272;3.833791488;492.92353515625;10.565756797790527
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;LinearCrossEntropyLoss;int:8192;dtype:torch.int64;65536;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.22602;7.591887872;328.7577209472656;11.252062797546387
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;PyTorchProjectionPlusCrossEntropyLoss;int:8192;dtype:torch.int64;2048;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.225576;0.310576128;31.407571411132814;7.787349700927734
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;PyTorchProjectionPlusCrossEntropyLoss;int:8192;dtype:torch.int64;4096;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.225832;0.545457152;60.71827392578125;8.486390113830566
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;PyTorchProjectionPlusCrossEntropyLoss;int:8192;dtype:torch.int64;16384;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.225972;1.954743296;244.8788818359375;9.882548332214355
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;PyTorchProjectionPlusCrossEntropyLoss;int:8192;dtype:torch.int64;32768;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.22616;3.833791488;494.016259765625;10.565756797790527
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;PyTorchProjectionPlusCrossEntropyLoss;int:8192;dtype:torch.int64;65536;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;;0.22616;7.591887872;329.35504150390625;11.252062797546387
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=1];int:8192;dtype:torch.int64;2048;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.26892;0.3273856;31.666473388671875;7.785902500152588
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=1];int:8192;dtype:torch.int64;4096;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.265064;0.444826112;60.5831787109375;8.477945327758789
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=1];int:8192;dtype:torch.int64;16384;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.267668;1.149469184;240.7513427734375;9.870903015136719
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=1];int:8192;dtype:torch.int64;32768;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.398876;2.08899328;483.839892578125;10.55263614654541
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=1];int:8192;dtype:torch.int64;65536;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.661032;3.968041472;997.30751953125;11.254060745239258
NVIDIA GeForce RTX 2060 SUPER-CC7.5-7786MB;FusedProjectionPlusCrossEntropyLoss[n_loop_iters=2];int:8192;dtype:torch.int64;2048;2048;dtype:torch.float32;cuda;False;mean;-100;0.0;GRADCHECKFAILED-LOSSABSERROR[0.06984032873480128>1e-12]-GRADABSERROR[0.02003291029747633>1e-12];0.268912;0.260276736;31.503250122070312;7.785902500152588
